,ID,DATE,TOSS_WINNER,WINNER,PLAYER_OF_MATCH
53,54,2008-05-26,Rajasthan Royals,Rajasthan Royals,Sohail Tanvir
54,55,2008-05-27,Deccan Chargers,Chennai Super Kings,SK Raina
55,56,2008-05-30,Delhi Daredevils,Rajasthan Royals,SR Watson
56,57,2008-05-31,Kings XI Punjab,Chennai Super Kings,M Ntini
57,58,2008-06-01,Rajasthan Royals,Rajasthan Royals,YK Pathan
58,59,2009-04-18,Chennai Super Kings,Mumbai Indians,SR Tendulkar
59,60,2009-04-18,Royal Challengers Bangalore,Royal Challengers Bangalore,R Dravid
60,61,2009-04-19,Delhi Daredevils,Delhi Daredevils,DL Vettori
61,62,2009-04-19,Kolkata Knight Riders,Deccan Chargers,RP Singh
62,63,2009-04-20,Chennai Super Kings,Chennai Super Kings,M Muralitharan
63,64,2009-04-21,Kolkata Knight Riders,Kolkata Knight Riders,CH Gayle
64,65,2009-04-22,Deccan Chargers,Deccan Chargers,AC Gilchrist
65,66,2009-04-23,Delhi Daredevils,Delhi Daredevils,AB de Villiers
66,67,2009-04-23,Kolkata Knight Riders,Rajasthan Royals,YK Pathan
67,68,2009-04-24,Royal Challengers Bangalore,Kings XI Punjab,RS Bopara
68,69,2009-04-25,Deccan Chargers,Deccan Chargers,PP Ojha
69,70,2009-04-26,Royal Challengers Bangalore,Delhi Daredevils,TM Dilshan
70,71,2009-04-26,Kings XI Punjab,Kings XI Punjab,KC Sangakkara
71,72,2009-04-27,Deccan Chargers,Deccan Chargers,HH Gibbs
72,73,2009-04-27,Mumbai Indians,Mumbai Indians,SR Tendulkar
73,74,2009-04-28,Delhi Daredevils,Rajasthan Royals,YK Pathan
74,75,2009-04-29,Kolkata Knight Riders,Royal Challengers Bangalore,MV Boucher
75,76,2009-04-29,Kings XI Punjab,Kings XI Punjab,KC Sangakkara
76,77,2009-04-30,Delhi Daredevils,Delhi Daredevils,DP Nannes
77,78,2009-04-30,Rajasthan Royals,Chennai Super Kings,SK Raina
78,79,2009-05-01,Mumbai Indians,Mumbai Indians,JP Duminy
79,80,2009-05-01,Royal Challengers Bangalore,Royal Challengers Bangalore,Yuvraj Singh
80,81,2009-05-02,Deccan Chargers,Rajasthan Royals,YK Pathan
81,82,2009-05-02,Delhi Daredevils,Chennai Super Kings,SB Jakati
82,83,2009-05-03,Kolkata Knight Riders,Kings XI Punjab,DPMD Jayawardene
83,84,2009-05-03,Mumbai Indians,Royal Challengers Bangalore,JH Kallis
84,85,2009-05-04,Chennai Super Kings,Chennai Super Kings,MS Dhoni
85,86,2009-05-05,Kings XI Punjab,Rajasthan Royals,GC Smith
86,87,2009-05-05,Kolkata Knight Riders,Delhi Daredevils,G Gambhir
87,88,2009-05-06,Deccan Chargers,Deccan Chargers,RG Sharma
88,89,2009-05-07,Rajasthan Royals,Rajasthan Royals,A Singh
89,90,2009-05-07,Chennai Super Kings,Chennai Super Kings,ML Hayden
90,91,2009-05-08,Mumbai Indians,Delhi Daredevils,A Nehra
91,92,2009-05-09,Kings XI Punjab,Kings XI Punjab,DPMD Jayawardene
92,93,2009-05-09,Rajasthan Royals,Chennai Super Kings,S Badrinath
93,94,2009-05-10,Mumbai Indians,Mumbai Indians,JP Duminy
94,95,2009-05-10,Delhi Daredevils,Delhi Daredevils,A Mishra
95,96,2009-05-11,Deccan Chargers,Deccan Chargers,DR Smith
96,97,2009-05-12,Royal Challengers Bangalore,Royal Challengers Bangalore,LRPL Taylor
97,98,2009-05-12,Kings XI Punjab,Mumbai Indians,Harbhajan Singh
98,99,2009-05-13,Deccan Chargers,Delhi Daredevils,R Bhatia
